image_name,diameter,cellprob_threshold,flow_threshold,raw_image_dice_binary,raw_image_iou_binary,raw_n_pred_instances,raw_n_gt_instances,post_image_dice_binary,post_image_iou_binary,post_n_pred_instances,post_n_gt_instances,out_dir
jw-15min 4_c1,40,2.0,0.3,0.6919240141836747,0.5289631655089736,55,32,0.691776155857343,0.5287903587407076,55,32,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 4_c1/d40_cp2.0_ft0.3
jw-15min 4_c1,40,2.0,0.5,0.6757647183748975,0.5103056290311179,59,32,0.6756024083765246,0.5101205352905818,59,32,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 4_c1/d40_cp2.0_ft0.5
jw-15min 4_c1,55,-2.0,0.3,0.6453935892511184,0.4764436253437769,46,32,0.645327273861903,0.47637134889517035,45,32,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 4_c1/d55_cp-2.0_ft0.3
jw-15min 4_c1,55,-2.0,0.5,0.6465390941900769,0.47769321700738904,59,32,0.6464721089203739,0.4776200868714444,58,32,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 4_c1/d55_cp-2.0_ft0.5
jw-15min 4_c1,55,0.0,0.3,0.6863332121410002,0.5224560889292016,53,32,0.6861547284569613,0.5222492658143151,52,32,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 4_c1/d55_cp0.0_ft0.3
jw-15min 4_c1,55,0.0,0.5,0.6701076898380132,0.5038811674581313,61,32,0.6699003159663535,0.5036466995727874,60,32,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 4_c1/d55_cp0.0_ft0.5
jw-15min 4_c1,55,2.0,0.3,0.6916675697908946,0.5286634755972136,50,32,0.6915814056292643,0.5285628075026478,50,32,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 4_c1/d55_cp2.0_ft0.3
jw-15min 4_c1,55,2.0,0.5,0.6778027520811589,0.5126336128350222,57,32,0.6776621388260846,0.5124727641273804,56,32,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 4_c1/d55_cp2.0_ft0.5
jw-15min 4_c1,70,-2.0,0.3,0.6446816579663588,0.4756680685063412,49,32,0.644578440156086,0.4755556937063282,49,32,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 4_c1/d70_cp-2.0_ft0.3
jw-15min 4_c1,70,-2.0,0.5,0.62199443164206,0.4513729450188228,58,32,0.6218873064799211,0.4512601251001105,59,32,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 4_c1/d70_cp-2.0_ft0.5
jw-15min 4_c1,70,0.0,0.3,0.6710786156844333,0.5049799210132045,53,32,0.6709223237627574,0.5048029439951233,53,32,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 4_c1/d70_cp0.0_ft0.3
jw-15min 4_c1,70,0.0,0.5,0.6464457983308729,0.47759136467066643,59,32,0.6462705126796576,0.4774000409483037,58,32,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 4_c1/d70_cp0.0_ft0.5
jw-15min 4_c1,70,2.0,0.3,0.6466978354180496,0.47786654920323834,54,32,0.6464485545539322,0.47759437347495337,54,32,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 4_c1/d70_cp2.0_ft0.3
jw-15min 4_c1,70,2.0,0.5,0.6539720438614891,0.485853240179057,57,32,0.6537400876842466,0.4855972325282443,57,32,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 4_c1/d70_cp2.0_ft0.5
jw-15min 5_c1,40,-2.0,0.3,0.72432160021374,0.5677932622635142,62,37,0.7242107448583531,0.5676570342160048,60,37,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 5_c1/d40_cp-2.0_ft0.3
jw-15min 5_c1,40,-2.0,0.5,0.720491260455443,0.5630999134182568,71,37,0.7203113756626707,0.5628801897302751,69,37,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 5_c1/d40_cp-2.0_ft0.5
