pred_label,area,perimeter,convex_area,convexity,solidity,eccentricity,major_axis_length,minor_axis_length,circularity,bbox_area,extent,skeleton_length,mean_intensity,boundary_edge_strength,mean_cellprob,max_cellprob,image_name,run_name,postprocess,matched_gt_label,best_iou,best_dice,quality_good
34,6915.0,650.1036431249679,14790.0,0.46754563894523327,0.46754563894523327,0.9495603209326835,218.00719554264336,68.36366290506542,0.20560650409209577,30600.0,0.22598039215686275,312.0,0.35353150963783264,0.03602442517876625,4.263499736785889,8.4375,F01_120w1,d30_cp0.0_ft0.2,False,9,0.00910154783079534,0.018038913626404376,0
35,19411.0,776.9087296526012,28446.0,0.6823806510581453,0.6823806510581453,0.8728250248728373,251.58109193217427,122.77994382383741,0.4041269106064305,38318.0,0.5065765436609426,310.0,0.37120482325553894,0.031493522226810455,5.430727005004883,8.640870094299316,F01_120w1,d30_cp0.0_ft0.2,False,9,0.027759817798436608,0.0540200488824342,0
36,8495.0,561.0437226013956,13454.0,0.6314107328675487,0.6314107328675487,0.8181110957016138,154.14697990850934,88.6437932920486,0.3391406375177118,21294.0,0.3989386681694374,301.0,0.22376126050949097,0.02020581252872944,5.078808307647705,8.0625,F01_120w1,d30_cp0.0_ft0.2,False,9,0.010915740897002427,0.021595748202153243,0
37,2656.0,205.48023074035524,2743.0,0.968282901932191,0.968282901932191,0.5407776892851549,65.04360508127259,54.71244016170414,0.7904926664345423,4032.0,0.6587301587301587,61.0,0.6703161001205444,0.045503705739974976,3.8780007362365723,6.4116597175598145,F01_120w1,d30_cp0.0_ft0.2,False,9,0.00331126792147315,0.006600679225566747,0
38,7813.0,426.0315292925759,9512.0,0.8213835155592936,0.8213835155592936,0.677485592373364,120.93399792170284,88.95131442492907,0.540933908548616,15750.0,0.49606349206349204,232.0,0.2970049977302551,0.03337422385811806,5.691132068634033,8.8125,F01_120w1,d30_cp0.0_ft0.2,False,9,0.011268249903123643,0.022285382546526317,0
39,7839.0,681.3401871576774,16561.0,0.473340981824769,0.473340981824769,0.46425778495993997,149.40289585822794,132.32616334124367,0.2121986015837568,25821.0,0.3035901010805159,351.0,0.3360860347747803,0.026543140411376953,4.985925674438477,8.25,F01_120w1,d30_cp0.0_ft0.2,False,9,0.010951195821070276,0.02166513253327917,0
40,424.0,100.01219330881976,519.0,0.8169556840077071,0.8169556840077071,0.7912716154891565,33.32852139855282,20.379218458387278,0.5326842024688369,874.0,0.4851258581235698,50.0,0.4512682557106018,0.06801635026931763,0.6773937940597534,1.3046875,F01_120w1,d30_cp0.0_ft0.2,False,9,0.0006177480170871432,0.0012347332801388492,0
41,7439.0,641.2691193458119,13755.0,0.5408215194474737,0.5408215194474737,0.9542740325843464,220.08954087332165,65.79207540502905,0.22732320435824638,20544.0,0.36210085669781933,316.0,0.46053552627563477,0.03569353371858597,4.819416522979736,8.15308952331543,F01_120w1,d30_cp0.0_ft0.2,False,9,0.010542337579107587,0.020864712317473402,0
42,10823.0,598.4345955666558,16127.0,0.6711105599305512,0.6711105599305512,0.7159447205219429,166.95554203660024,116.56117563960787,0.3797730461692339,25330.0,0.4272799052506909,281.0,0.26636940240859985,0.02811950445175171,5.204845905303955,7.75,F01_120w1,d30_cp0.0_ft0.2,False,9,0.01443545875978151,0.028460083162766946,0
43,7315.0,440.2741699796952,10275.0,0.7119221411192214,0.7119221411192214,0.6425571175752006,124.58017586529031,95.45803861895993,0.47421772255019184,15351.0,0.47651618787049704,200.0,0.19263099133968353,0.024625565856695175,5.257741928100586,8.427881240844727,F01_120w1,d30_cp0.0_ft0.2,False,9,0.010450033138870074,0.020683918642484492,0
44,8249.0,609.1269837220809,14002.0,0.5891301242679617,0.5891301242679617,0.9518036725812891,205.6698430702339,63.08057670517715,0.2793801139441088,21210.0,0.3889203206034889,365.0,0.3993557393550873,0.02622544765472412,5.158417224884033,7.83302640914917,F01_120w1,d30_cp0.0_ft0.2,False,9,0.011632242297844824,0.02299697817345774,0
45,9748.0,517.747258045114,13005.0,0.7495578623606305,0.7495578623606305,0.6618879228031213,141.9321261598852,106.39272106142914,0.4569721883240769,18419.0,0.5292361148813725,275.0,0.4165559709072113,0.027876218780875206,4.214392185211182,6.5,F01_120w1,d30_cp0.0_ft0.2,False,9,0.014066451455009498,0.02774266210035167,0
46,9738.0,586.3929650063131,15507.0,0.6279744631456762,0.6279744631456762,0.6306392547744658,152.0002459164991,117.96375974861779,0.3558788114182438,22776.0,0.4275553213909378,293.0,0.21503080427646637,0.026027856394648552,5.391951560974121,8.291219711303711,F01_120w1,d30_cp0.0_ft0.2,False,9,0.012989394274538109,0.02564566687065976,0
47,4319.0,308.7056274847714,4968.0,0.8693639291465378,0.8693639291465378,0.824101300289956,104.12652666223318,58.98168466099949,0.5695134369949892,8352.0,0.5171216475095786,130.0,0.32980555295944214,0.028190813958644867,5.155792236328125,8.334680557250977,F01_120w1,d30_cp0.0_ft0.2,False,9,0.006125469425094468,0.012176352972347662,0
